"","country","R0","strategy","time","infections_lower","infections_median","infections_upper","deaths_lower","deaths_median","deaths_upper","hosp_inc_lower","hosp_inc_median","hosp_inc_upper","ICU_inc_lower","ICU_inc_median","ICU_inc_upper","hosp_occ_lower","hosp_occ_median","hosp_occ_upper","ICU_occ_lower","ICU_occ_median","ICU_occ_upper"
"118",2,2.7,"unmitigated",118,6413.85,11131.5,33744.7749999999,37,62.5,189.525,6413.85,11131.5,33744.7749999999,51.95,84.5,256.375,10222.55,16993,44396.8999999999,4225,6925,15918.5
"119",2,2.7,"unmitigated",119,5613.525,9644,29095.1499999999,25.475,57.5,160.425,5613.525,9644,29095.1499999999,39.475,75,221.825,8867.6,14857.5,39571.1999999999,3728.525,6078,14480
"120",2,2.7,"unmitigated",120,4836.925,8324.5,25360.6249999999,24,48.5,141.175,4836.925,8324.5,25360.6249999999,33.475,65.5,180.575,7689.1,12941.5,35222.6499999999,3212.8,5320.5,13098.225
"121",2,2.7,"unmitigated",121,4179.175,7119.5,21906.1999999999,22.475,40,128.3,4179.175,7119.5,21906.1999999999,32.475,58,156.9,6735.35,11336,31291.4749999999,2805.35,4667.5,11802.25
"122",2,2.7,"unmitigated",122,3625.6,6212,18908.025,16,35,118.1,3625.6,6212,18908.025,25,49,138.425,5853.475,9881.5,27547.2499999999,2432.425,4122.5,10553.05
"123",2,2.7,"unmitigated",123,3082.525,5424.5,16280.275,16,29.5,96.9249999999999,3082.525,5424.5,16280.275,24,41,127.15,5087,8624,24219.2999999999,2112.3,3601,9425.82499999998
"124",2,2.7,"unmitigated",124,2719.75,4628,14069.375,12,26.5,87.0249999999998,2719.75,4628,14069.375,16.475,34,101.45,4402.35,7474,21287.45,1820.8,3144.5,8346.52499999998
"125",2,2.7,"unmitigated",125,2312,4034,12263.7,8,23,64.1,2312,4034,12263.7,14.475,31,101.975,3814.9,6483.5,18670.925,1590.325,2778,7369.59999999998
"126",2,2.7,"unmitigated",126,2047.025,3506.5,10517.15,9,21,62.3999999999999,2047.025,3506.5,10517.15,10,27,97.3499999999999,3326.9,5661,16298.45,1397.9,2450.5,6490.17499999999
"127",2,2.7,"unmitigated",127,1737,3023.5,9163.77499999998,7,17,52.9749999999998,1737,3023.5,9163.77499999998,9.95,24,72.9249999999999,2900.7,4932,14299.6,1198.125,2114.5,5741.69999999999
"128",2,2.7,"unmitigated",128,1499.85,2582.5,7736.44999999998,6,14,40.1999999999999,1499.85,2582.5,7736.44999999998,7.475,20,56.8249999999999,2535.75,4293.5,12409.475,1057.7,1821.5,5057.37499999999
"129",2,2.7,"unmitigated",129,1255.6,2254,6930.02499999998,6,13.5,40.6749999999999,1255.6,2254,6930.02499999998,6.475,17,47.0749999999998,2189.075,3693.5,10848.825,924.325,1569,4482.57499999999
"130",2,2.7,"unmitigated",130,1119.025,1903,5814.82499999999,2.475,11,32,1119.025,1903,5814.82499999999,5.475,15,41.1999999999999,1894.425,3220,9472.34999999998,807.225,1360.5,3929.34999999999
"131",2,2.7,"unmitigated",131,993.7,1696.5,5104.49999999999,2.475,10,29.1,993.7,1696.5,5104.49999999999,4.475,13,39.1999999999999,1642.375,2776.5,8231.69999999998,703.475,1172,3426.77499999999
"132",2,2.7,"unmitigated",132,812.55,1440,4393.02499999999,2.475,8,27.575,812.55,1440,4393.02499999999,4,11,34.1499999999999,1418.8,2415,7190.82499999998,618.65,1023,3037.42499999999
