"Income","HS","IFR","Mort"
"HIC","Infinite capacity",0.0115424680457748,6194
"HIC","Infinite capacity",0.00511002705084952,2690
"HIC","Infinite capacity",0.0127276774121749,6862
"HIC","Infinite capacity",0.0094448030865518,4989
"HIC","Infinite capacity",0.0129471073950011,6965
"HIC","Infinite capacity",0.00453757197742711,2368
"HIC","Infinite capacity",0.00748314874269873,3960
"HIC","Infinite capacity",0.0135786691720563,7342
"HIC","Infinite capacity",0.0051466057772462,2698
"HIC","Infinite capacity",0.0126900029434143,6855
"HIC","Infinite capacity",0.0133430180309552,7201
"HIC","Infinite capacity",0.00602397010311832,3161
"HIC","Infinite capacity",0.00860896718761183,4571
"HIC","Infinite capacity",0.00445883458825093,2348
"HIC","Infinite capacity",0.00787578159150084,4144
"HIC","Infinite capacity",0.0148208363740497,8022
"HIC","Infinite capacity",0.0142818298351698,7721
"HIC","Infinite capacity",0.0100030369040076,5336
"HIC","Infinite capacity",0.00908381715348726,4844
"HIC","Infinite capacity",0.0133900051329584,7252
"HIC","Infinite capacity",0.0047666491972717,2483
"HIC","Infinite capacity",0.00635871504604849,3350
"HIC","Infinite capacity",0.0153891166577113,8363
"HIC","Infinite capacity",0.00560630124702682,2951
"HIC","Infinite capacity",0.00956644869536476,5094
"HIC","Infinite capacity",0.00826184206800872,4377
"HIC","Infinite capacity",0.00857602489350775,4542
"HIC","Infinite capacity",0.00730491626742098,3853
"HIC","Infinite capacity",0.00549251167942426,2891
"HIC","Infinite capacity",0.00838390139700183,4435
"HIC","Infinite capacity",0.00790041198118607,4169
"HIC","Infinite capacity",0.00539563903174878,2840
"HIC","Infinite capacity",0.0154337393872278,8362
"HIC","Infinite capacity",0.0130090729753616,6977
"HIC","Infinite capacity",0.00516056579052916,2702
"HIC","Infinite capacity",0.00714315323768932,3791
"HIC","Infinite capacity",0.00552315196023178,2891
"HIC","Infinite capacity",0.00784687190608646,4161
"HIC","Infinite capacity",0.0111993411933046,6011
"HIC","Infinite capacity",0.00651492487542755,3419
"HIC","Infinite capacity",0.0126508108349424,6801
"HIC","Infinite capacity",0.007112842801617,3746
"UMIC","Infinite capacity",0.0102092942062807,5556
"UMIC","Infinite capacity",0.00342901930048006,1820
"UMIC","Infinite capacity",0.00361956757880022,1916
"UMIC","Infinite capacity",0.005582289940984,2972
"UMIC","Infinite capacity",0.00471578090278367,2502
"UMIC","Infinite capacity",0.00464243160000899,2478
"UMIC","Infinite capacity",0.0045619839665467,2435
"UMIC","Infinite capacity",0.00447757848371297,2397
"UMIC","Infinite capacity",0.00353634355634141,1878
"UMIC","Infinite capacity",0.00190527514695653,997
"UMIC","Infinite capacity",0.00401479431943307,2133
"UMIC","Infinite capacity",0.00744753507431717,4002
"UMIC","Infinite capacity",0.00686640999238931,3681
"UMIC","Infinite capacity",0.00529160665475434,2840
"UMIC","Infinite capacity",0.00413984046284959,2201
"UMIC","Infinite capacity",0.00785916785716929,4247
"UMIC","Infinite capacity",0.00841717496135726,4547
"UMIC","Infinite capacity",0.00508431172064698,2720
"UMIC","Infinite capacity",0.00602739212710547,3217
"UMIC","Infinite capacity",0.00649952020709201,3495
"UMIC","Infinite capacity",0.00607203660452912,3242
"UMIC","Infinite capacity",0.00662308602534457,3543
"UMIC","Infinite capacity",0.00427525501191434,2275
"UMIC","Infinite capacity",0.00952630047263123,5172
"UMIC","Infinite capacity",0.00798625020999444,4326
"UMIC","Infinite capacity",0.00644137085489308,3457
"UMIC","Infinite capacity",0.00255790712567939,1354
"UMIC","Infinite capacity",0.00677507532519803,3636
"UMIC","Infinite capacity",0.00763941798450189,4111
"UMIC","Infinite capacity",0.00511038620717953,2740
"UMIC","Infinite capacity",0.00925801764534077,5040
"UMIC","Infinite capacity",0.00977964592835969,5328
"UMIC","Infinite capacity",0.00534674997605512,2847
"UMIC","Infinite capacity",0.0086335301442684,4666
"UMIC","Infinite capacity",0.00375843803403033,1986
"UMIC","Infinite capacity",0.00860875936177141,4653
"UMIC","Infinite capacity",0.00750170957959208,4037
"UMIC","Infinite capacity",0.00561344236317701,3004
"UMIC","Infinite capacity",0.00460590394845284,2459
"UMIC","Infinite capacity",0.00838070993678392,4530
"UMIC","Infinite capacity",0.0049307687840372,2632
"UMIC","Infinite capacity",0.00481144124450462,2573
"UMIC","Infinite capacity",0.0057194483644319,3064
"UMIC","Infinite capacity",0.00645073306332292,3453
"UMIC","Infinite capacity",0.00419525930052662,2229
"UMIC","Infinite capacity",0.00680336669885984,3656
"UMIC","Infinite capacity",0.00828318833276519,4471
"UMIC","Infinite capacity",0.00523089237490369,2797
"UMIC","Infinite capacity",0.00868880541833316,4712
"UMIC","Infinite capacity",0.00858649389780069,4628
"UMIC","Infinite capacity",0.00483876994357882,2590
"UMIC","Infinite capacity",0.00442754767765794,2349
"UMIC","Infinite capacity",0.00299521104674447,1593
"UMIC","Infinite capacity",0.00678163182667553,3651
